[Parallel(n_jobs=-1)]: Done 257 tasks      | elapsed:   58.4s
[Parallel(n_jobs=-1)]: Done 282 tasks      | elapsed:  1.1min
[Parallel(n_jobs=-1)]: Done 309 tasks      | elapsed:  1.2min
[Parallel(n_jobs=-1)]: Done 336 tasks      | elapsed:  1.3min
[Parallel(n_jobs=-1)]: Done 365 tasks      | elapsed:  1.4min
[Parallel(n_jobs=-1)]: Done 394 tasks      | elapsed:  1.4min
[Parallel(n_jobs=-1)]: Done 425 tasks      | elapsed:  1.6min
[Parallel(n_jobs=-1)]: Done 456 tasks      | elapsed:  1.7min
[Parallel(n_jobs=-1)]: Done 489 tasks      | elapsed:  1.8min
[Parallel(n_jobs=-1)]: Done 522 tasks      | elapsed:  1.9min
[Parallel(n_jobs=-1)]: Done 557 tasks      | elapsed:  2.0min
[Parallel(n_jobs=-1)]: Done 592 tasks      | elapsed:  2.1min
[Parallel(n_jobs=-1)]: Done 629 tasks      | elapsed:  2.3min
[Parallel(n_jobs=-1)]: Done 666 tasks      | elapsed:  2.4min
[Parallel(n_jobs=-1)]: Done 705 tasks      | elapsed:  2.5min
[Parallel(n_jobs=-1)]: Done 744 tasks      | elapsed:  2.7min
[Parallel(n_jobs=-1)]: Done 785 tasks      | elapsed:  2.8min
[Parallel(n_jobs=-1)]: Done 826 tasks      | elapsed:  3.0min
[Parallel(n_jobs=-1)]: Done 869 tasks      | elapsed:  3.1min
[Parallel(n_jobs=-1)]: Done 912 tasks      | elapsed:  3.3min
[Parallel(n_jobs=-1)]: Done 1000 out of 1000 | elapsed:  3.6min finished
[Parallel(n_jobs=-1)]: Using backend LokyBackend with 28 concurrent workers.
[Parallel(n_jobs=-1)]: Done   5 tasks      | elapsed:   13.0s
[Parallel(n_jobs=-1)]: Done  16 tasks      | elapsed:   13.2s
[Parallel(n_jobs=-1)]: Done  29 tasks      | elapsed:   24.3s
[Parallel(n_jobs=-1)]: Done  42 tasks      | elapsed:   24.9s
[Parallel(n_jobs=-1)]: Done  57 tasks      | elapsed:   35.8s
[Parallel(n_jobs=-1)]: Done  72 tasks      | elapsed:   36.9s
[Parallel(n_jobs=-1)]: Done  89 tasks      | elapsed:   47.7s
[Parallel(n_jobs=-1)]: Done 106 tasks      | elapsed:   50.3s
[Parallel(n_jobs=-1)]: Done 125 tasks      | elapsed:   60.0s
[Parallel(n_jobs=-1)]: Done 144 tasks      | elapsed:  1.2min
[Parallel(n_jobs=-1)]: Done 165 tasks      | elapsed:  1.3min
[Parallel(n_jobs=-1)]: Done 186 tasks      | elapsed:  1.4min
[Parallel(n_jobs=-1)]: Done 209 tasks      | elapsed:  1.6min
[Parallel(n_jobs=-1)]: Done 232 tasks      | elapsed:  1.8min
[Parallel(n_jobs=-1)]: Done 257 tasks      | elapsed:  2.0min
[Parallel(n_jobs=-1)]: Done 282 tasks      | elapsed:  2.1min
[Parallel(n_jobs=-1)]: Done 309 tasks      | elapsed:  2.3min
[Parallel(n_jobs=-1)]: Done 336 tasks      | elapsed:  2.5min
[Parallel(n_jobs=-1)]: Done 365 tasks      | elapsed:  2.7min
[Parallel(n_jobs=-1)]: Done 394 tasks      | elapsed:  2.9min
[Parallel(n_jobs=-1)]: Done 425 tasks      | elapsed:  3.1min
[Parallel(n_jobs=-1)]: Done 456 tasks      | elapsed:  3.3min
[Parallel(n_jobs=-1)]: Done 489 tasks      | elapsed:  3.6min
[Parallel(n_jobs=-1)]: Done 522 tasks      | elapsed:  3.8min
[Parallel(n_jobs=-1)]: Done 557 tasks      | elapsed:  4.1min
[Parallel(n_jobs=-1)]: Done 592 tasks      | elapsed:  4.3min
[Parallel(n_jobs=-1)]: Done 629 tasks      | elapsed:  4.6min
[Parallel(n_jobs=-1)]: Done 666 tasks      | elapsed:  4.8min
[Parallel(n_jobs=-1)]: Done 705 tasks      | elapsed:  5.1min
[Parallel(n_jobs=-1)]: Done 744 tasks      | elapsed:  5.4min
[Parallel(n_jobs=-1)]: Done 785 tasks      | elapsed:  5.7min
[Parallel(n_jobs=-1)]: Done 826 tasks      | elapsed:  6.0min
[Parallel(n_jobs=-1)]: Done 869 tasks      | elapsed:  6.3min
[Parallel(n_jobs=-1)]: Done 912 tasks      | elapsed:  6.6min
[Parallel(n_jobs=-1)]: Done 1000 out of 1000 | elapsed:  7.2min finished
[Parallel(n_jobs=-1)]: Using backend LokyBackend with 28 concurrent workers.
[Parallel(n_jobs=-1)]: Done   5 tasks      | elapsed:   25.0s
[Parallel(n_jobs=-1)]: Done  16 tasks      | elapsed:   25.8s
[Parallel(n_jobs=-1)]: Done  29 tasks      | elapsed:   48.4s
[Parallel(n_jobs=-1)]: Done  42 tasks      | elapsed:   49.7s
[Parallel(n_jobs=-1)]: Done  57 tasks      | elapsed:  1.2min
[Parallel(n_jobs=-1)]: Done  72 tasks      | elapsed:  1.2min
[Parallel(n_jobs=-1)]: Done  89 tasks      | elapsed:  1.6min
[Parallel(n_jobs=-1)]: Done 106 tasks      | elapsed:  1.7min
[Parallel(n_jobs=-1)]: Done 125 tasks      | elapsed:  2.0min
[Parallel(n_jobs=-1)]: Done 144 tasks      | elapsed:  2.4min
[Parallel(n_jobs=-1)]: Done 165 tasks      | elapsed:  2.6min
[Parallel(n_jobs=-1)]: Done 186 tasks      | elapsed:  2.9min
